Compound;Bandgap (eV);H2 production rate (umol.g-1.h-1) ;Bandgap (eV);Incident light cut-off (nm);Particle size (nm);Radiation (W);Specific Surface Area m2.g-1;Catalyst amount (g);Co-catalyst;Co-catalyst type;Reaction;Reaction solution;Reaction solution concentration;Carbon source;Sacrificial agent;Sacrificial agent source;Preparation method;Calcination temperature (°C);Calcination time (h);Reference
BaTiO3;Bandgap (eV);35;3.0;400;500;300;-;0.2;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(5 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;1150;5;https://doi.org/10.1016/j.ijhydene.2019.03.145
BaTi0.99Mo0.01O3;Bandgap (eV);48;2.4;400;500;300;-;0.2;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(5 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;1150;5;https://doi.org/10.1016/j.ijhydene.2019.03.145
BaTi0.98Mo0.02O3;Bandgap (eV);63;2.2;400;500;300;-;0.2;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(5 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;1150;5;https://doi.org/10.1016/j.ijhydene.2019.03.145
BaTi0.97Mo0.03O3;Bandgap (eV);41;2.6;400;500;300;-;0.2;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(5 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;1150;5;https://doi.org/10.1016/j.ijhydene.2019.03.145
CaTiO3;Bandgap (eV);0;3.51;400;500;500;5.37;0.1;Pt;H2PtCl6·6H2O;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;hydrothermal synthesis;-;-;https://doi.org/10.1016/j.apcatb.2017.11.061
Ca0.95La0.05Ti0.95Cr0.05O3;Bandgap (eV);495;2.49;400;1000;500;14.69;0.1;Pt;H2PtCl6·6H2O;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;hydrothermal synthesis;-;-;https://doi.org/10.1016/j.apcatb.2017.11.061
Ca0.90La0.10Ti0.90Cr0.10O3;Bandgap (eV);117.5;2.48;400;1000;500;9.72;0.1;Pt;H2PtCl6·6H2O;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;hydrothermal synthesis;-;-;https://doi.org/10.1016/j.apcatb.2017.11.061
Ca0.80La0.20Ti0.80Cr0.20O3 ;Bandgap (eV);164;2.50;400;1000;500;9.51;0.1;Pt;H2PtCl6·6H2O;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;hydrothermal synthesis;-;-;https://doi.org/10.1016/j.apcatb.2017.11.061
CH3(NH3)3Bi2I9;Bandgap (eV);12.19;1.98;400;1500;300;-;0.04;FALSE;-;Photocatalysis; HI / H3PO2;-;-;FALSE;-;Solution crystallization;65;24;https://doi.org/10.1021/acssuschemeng.9b03761
CH3(NH3)3Bi2I9Pt;Bandgap (eV);169.21;1.98;400;1500;300;-;0.04;Pt;H2PtCl6·6H2O;Photocatalysis; HI / H3PO2;-;-;FALSE;-;Solution crystallization;65;24;https://doi.org/10.1021/acssuschemeng.9b03761
FeTiO3;Bandgap (eV);192.21;2.42;400;50;300;-;0.02;FALSE;-;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;Ultrasonic sol–gel;750;4;https://doi.org/10.1016/j.jallcom.2024.175382
FeTiO3C;Bandgap (eV);316.22;2.36;400;50;300;-;0.02;FALSE;-;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;Ultrasonic sol–gel;750;4;https://doi.org/10.1016/j.jallcom.2024.175382
FeTiO3C;Bandgap (eV);378.22;2.32;400;50;300;-;0.02;FALSE;-;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;Ultrasonic sol–gel;750;4;https://doi.org/10.1016/j.jallcom.2024.175382
FeTiO3C;Bandgap (eV);415.43;2.26;400;50;300;-;0.02;FALSE;-;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;Ultrasonic sol–gel;750;4;https://doi.org/10.1016/j.jallcom.2024.175382
FeTiO3C;Bandgap (eV);396.83;2.22;400;50;300;-;0.02;FALSE;-;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;Ultrasonic sol–gel;750;4;https://doi.org/10.1016/j.jallcom.2024.175382
LaMnO3;Bandgap (eV);300.74;2.64;400;200;300;-;0.02;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;Electrospinning;800;3;https://doi.org/10.1016/j.mssp.2023.107697
LaMn0.98Fe0.02O3;Bandgap (eV);494.42;2.64;400;200;300;-;0.02;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;Electrospinning;800;3;https://doi.org/10.1016/j.mssp.2023.107697
LaMn0.96Fe0.04O3;Bandgap (eV);767.71;2.64;400;200;300;-;0.02;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;Electrospinning;800;3;https://doi.org/10.1016/j.mssp.2023.107697
LaMn0.95Fe0.05O3;Bandgap (eV);425.27;2.64;400;200;300;-;0.02;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;Electrospinning;800;3;https://doi.org/10.1016/j.mssp.2023.107697
LaMn0.94Fe0.06O3;Bandgap (eV);581.73;2.64;400;200;300;-;0.02;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;Electrospinning;800;3;https://doi.org/10.1016/j.mssp.2023.107697
LaMn0.92Fe0.08O3;Bandgap (eV);385.68;2.64;400;200;300;-;0.02;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;Electrospinning;800;3;https://doi.org/10.1016/j.mssp.2023.107697
K1NbO3BiNi0.5Ti0.5O3;Bandgap (eV);7842;3.31;400;160;300;-;0.02;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(7 : 3 v/v);CH3OH;TRUE;CH3OH;Electrospinning;650;4;https://doi.org/10.1016/j.apsusc.2021.151359
K0.995NbO2.995BiNi0.5Ti0.5O3;Bandgap (eV);7434;3.30;420;160;300;-;0.02;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(7 : 3 v/v);CH3OH;TRUE;CH3OH;Electrospinning;650;4;https://doi.org/10.1016/j.apsusc.2021.151359
K0.99NbO2.99BiNi0.5Ti0.5O3;Bandgap (eV);7002;3.23;420;160;300;-;0.02;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(7 : 3 v/v);CH3OH;TRUE;CH3OH;Electrospinning;650;4;https://doi.org/10.1016/j.apsusc.2021.151359
K0.98NbO0.98bBiNi0.5Ti0.5O3;Bandgap (eV);4945;3.22;420;160;300;-;0.02;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(7 : 3 v/v);CH3OH;TRUE;CH3OH;Electrospinning;650;4;https://doi.org/10.1016/j.apsusc.2021.151359
K0.97Nb0.97BiNi0.5Ti0.5O3;Bandgap (eV);2781;3.21;420;160;300;-;0.02;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(7 : 3 v/v);CH3OH;TRUE;CH3OH;Electrospinning;650;4;https://doi.org/10.1016/j.apsusc.2021.151359
K0.95Nb0.95BiNi0.5Ti0.5O3;Bandgap (eV);1225;3.18;420;160;300;-;0.02;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(7 : 3 v/v);CH3OH;TRUE;CH3OH;Electrospinning;650;4;https://doi.org/10.1016/j.apsusc.2021.151359
Zn2TiO4;Bandgap (eV);0;3.67;420;5000;500;0.7688;0.1;Pt;H2PtCl6·6H2O;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;Polymerized-complex method;1000;10;https://doi.org/10.1002/cctc.201600425
Zn2Ti0.99Rh0.01O4;Bandgap (eV);166;2.73;420;5000;500;0.9258;0.1;Pt;H2PtCl6·6H2O;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;Polymerized-complex method;1000;10;https://doi.org/10.1002/cctc.201600425
Zn2Ti0.97Rh0.03O4;Bandgap (eV);57;2.58;420;5000;500;0.7009;0.1;Pt;H2PtCl6·6H2O;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;Polymerized-complex method;1000;10;https://doi.org/10.1002/cctc.201600425
Zn2Ti0.96Rh0.04O4;Bandgap (eV);864;2.49;420;5000;500;0.9399;0.1;Pt;H2PtCl6·6H2O;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;Polymerized-complex method;1000;10;https://doi.org/10.1002/cctc.201600425
Zn2Ti0.95Rh0.05O4;Bandgap (eV);288;2.52;420;5000;500;0.8086;0.1;Pt;H2PtCl6·6H2O;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;Polymerized-complex method;1000;10;https://doi.org/10.1002/cctc.201600425
Ba5Ta4O15-Ba3Ta5O15-BaTa2O6 ;Bandgap (eV);5900;4.3;400;70;500;2.5;0.20;FALSE;-;Photoreform;Water / methanol;(11: 1 v/v);CH3OH;TRUE;CH3OH;Citrate Synthesis;1000;10;http://dx.doi.org/10.1088/2515-7655/abc07a
KNbO3;Bandgap (eV);0;3.40;420;101;300;-;0.020;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(7 : 3 v/v);CH3OH;TRUE;CH3OH;Pechini sol-gel-based electrospinnig;650;4;https://doi.org/10.1021/acs.jpcc.1c10127
K0.95Na0.05NbO3;Bandgap (eV);33;3.42;420;103;300;-;0.020;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(7 : 3 v/v);CH3OH;TRUE;CH3OH;Pechini sol-gel-based electrospinnig;650;4;https://doi.org/10.1021/acs.jpcc.1c10127
K0.9Na0.1NbO3;Bandgap (eV);7718;3.42;420;103;300;-;0.020;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(7 : 3 v/v);CH3OH;TRUE;CH3OH;Pechini sol-gel-based electrospinnig;650;4;https://doi.org/10.1021/acs.jpcc.1c10127
K0.7Na0.3NbO3;Bandgap (eV);9304;3.37;420;103;300;-;0.020;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(7 : 3 v/v);CH3OH;TRUE;CH3OH;Pechini sol-gel-based electrospinnig;650;4;https://doi.org/10.1021/acs.jpcc.1c10127
K0.5Na0.5NbO3;Bandgap (eV);11506;3.27;420;103;300;-;0.020;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(7 : 3 v/v);CH3OH;TRUE;CH3OH;Pechini sol-gel-based electrospinnig;650;4;https://doi.org/10.1021/acs.jpcc.1c10127
K0.3Na0.7NbO3;Bandgap (eV);9355;3.44;420;103;300;-;0.020;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(7 : 3 v/v);CH3OH;TRUE;CH3OH;Pechini sol-gel-based electrospinnig;650;4;https://doi.org/10.1021/acs.jpcc.1c10127
NaNbO3;Bandgap (eV);8717;3.60;420;95;300;-;0.020;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(7 : 3 v/v);CH3OH;TRUE;CH3OH;Pechini sol-gel-based electrospinnig;650;4;https://doi.org/10.1021/acs.jpcc.1c10127
GbFeO3;Bandgap (eV);685;2.6;400;71;200;18.7;0.020;FALSE;-;Photocatalysis;Water / Na2S / Na2SO3;-;-;FALSE;-;Alkali-assisted solvothermal method;800;-;https://doi.org/10.1016/j.mtchem.2023.101713
Sr2FeTaO6;Bandgap (eV);113.5;2.01;400;5000;500;4;0.10;Pt;H2PtCl6·6H2O;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;Polymeric citrate precursor method;1000;12;https://doi.org/10.1016/j.apcatb.2017.01.011
Sr3FeTaO7;Bandgap (eV);190.4;2.21;400;5000;500;21.4;0.10;Pt;H2PtCl6·6H2O;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;Polymeric citrate precursor method;1200;12;https://doi.org/10.1016/j.apcatb.2017.01.011
Sr3FeTaO8;Bandgap (eV);261.8;2.27;400;5000;500;7;0.10;Pt;H2PtCl6·6H2O;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;Polymeric citrate precursor method;1400;12;https://doi.org/10.1016/j.apcatb.2017.01.011
HPb2Nb3O10;Bandgap (eV);55;2.58;400;2500;300;-;0.5;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;1000;48;https://doi.org/10.1016/j.apcata.2013.09.015
H1.1Pb2Nb2.95Cr0.05O10;Bandgap (eV);110;2.43;400;2500;300;-;0.5;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;1000;49;https://doi.org/10.1016/j.apcata.2013.09.015
Sr4Ta2O9;Bandgap (eV);30;4.55;400;500;300;0.34;0.10;Pt;H2PtCl6·6H2O;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;solid-state reaction;1000;10;https://doi.org/10.1039/C8TA06934D
Sr4Ta2O9-xNy;Bandgap (eV);300;2.20;400;1000;300;5.70;0.10;Pt;H2PtCl6·6H2O;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;solid-state reaction;1000;10;https://doi.org/10.1039/C8TA06934D
SrTaO2N;Bandgap (eV);70;2.03;400;100;300;5.08;0.10;Pt;H2PtCl6·6H2O;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;solid-state reaction;1000;10;https://doi.org/10.1039/C8TA06934D
SrTiO3;Bandgap (eV);79.36;3.10;400;500;300;-;0.010;Pt;H2PtCl6·6H2O;Photocatalysis;Water / Na2S / Na2SO3;-;-;FALSE;-;hydrothermal synthesis;200;10;https://doi.org/10.1002/solr.202300259
SrTiO3CdS;Bandgap (eV);4537.9;2.15;400;500;300;-;0.010;Pt;H2PtCl6·6H2O;Photocatalysis;Water / Na2S / Na2SO3;-;-;FALSE;-;Chemical bath deposition;80;1;https://doi.org/10.1002/solr.202300259
LaFeO3;Bandgap (eV);94.8;2.31;400;28.79;350;-;0.10;RhCrOx;Na3RhCl61·2H2O / Cr(NO3)3·9H2O;Photoreform;Water / TEOS;(8 : 2 v/v);C8H20O4Si;TRUE;C8H20O4Si;Citric-acid assisted co-precipitation;700;6;https://doi.org/10.3390/catal11050612
PrLaFeO3;Bandgap (eV);127;2.00;400;16.04;350;-;0.10;RhCrOx;Na3RhCl61·2H2O / Cr(NO3)3·9H2O;Photoreform;Water / TEOS;(8 : 2 v/v);C8H20O4Si;TRUE;C8H20O4Si;Citric-acid assisted co-precipitation;700;6;https://doi.org/10.3390/catal11050612
YLaFeO3;Bandgap (eV);80;2.00;400;15.60;350;-;0.10;RhCrOx;Na3RhCl61·2H2O / Cr(NO3)3·9H2O;Photoreform;Water / TEOS;(8 : 2 v/v);C8H20O4Si;TRUE;C8H20O4Si;Citric-acid assisted co-precipitation;700;6;https://doi.org/10.3390/catal11050612
EuLaFeO3;Bandgap (eV);96;2.08;400;19.38;350;-;0.10;RhCrOx;Na3RhCl61·2H2O / Cr(NO3)3·9H2O;Photoreform;Water / TEOS;(8 : 2 v/v);C8H20O4Si;TRUE;C8H20O4Si;Citric-acid assisted co-precipitation;700;6;https://doi.org/10.3390/catal11050612
CaLaFeO3;Bandgap (eV);0;2.17;400;21.39;350;-;0.10;RhCrOx;Na3RhCl61·2H2O / Cr(NO3)3·9H2O;Photoreform;Water / TEOS;(8 : 2 v/v);C8H20O4Si;TRUE;C8H20O4Si;Citric-acid assisted co-precipitation;700;6;https://doi.org/10.3390/catal11050612
MgLaFeO3;Bandgap (eV);60;2.20;400;27.85;350;-;0.10;RhCrOx;Na3RhCl61·2H2O / Cr(NO3)3·9H2O;Photoreform;Water / TEOS;(8 : 2 v/v);C8H20O4Si;TRUE;C8H20O4Si;Citric-acid assisted co-precipitation;700;6;https://doi.org/10.3390/catal11050612
TbLaFeO3;Bandgap (eV);70;2.30;400;18.31;350;-;0.10;RhCrOx;Na3RhCl61·2H2O / Cr(NO3)3·9H2O;Photoreform;Water / TEOS;(8 : 2 v/v);C8H20O4Si;TRUE;C8H20O4Si;Citric-acid assisted co-precipitation;700;6;https://doi.org/10.3390/catal11050612
InLaFeO3;Bandgap (eV);84;2.05;400;20.10;350;-;0.10;RhCrOx;Na3RhCl61·2H2O / Cr(NO3)3·9H2O;Photoreform;Water / TEOS;(8 : 2 v/v);C8H20O4Si;TRUE;C8H20O4Si;Citric-acid assisted co-precipitation;700;6;https://doi.org/10.3390/catal11050612
BaZrO3;Bandgap (eV);20500;3.29;400;2000;500;26.31;0.025;FALSE;-;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;hydrothermal synthesis;180;12;https://doi.org/10.1016/j.apcatb.2024.124633
BaZrO3;Bandgap (eV);16400;3.33;400;2000;500;18;0.025;FALSE;-;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;hydrothermal synthesis;200;24;https://doi.org/10.1016/j.apcatb.2024.124633
BaZrO3;Bandgap (eV);14800;3.33;400;500;500;12;0.025;FALSE;-;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;Electrospinning;1200;2;https://doi.org/10.1016/j.apcatb.2024.124633
BaZrO3;Bandgap (eV);13100;3.37;400;300;500;9;0.025;FALSE;-;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;precipitation;1200;2;https://doi.org/10.1016/j.apcatb.2024.124633
BaZrO3;Bandgap (eV);3200;2.37;400;400;300;18.3;0.025;FALSE;-;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;Solvothermal synthesis;700;2;https://doi.org/10.1021/acs.jpcc.8b10626
BaZr0.99Ce0.01O3;Bandgap (eV);7800;2.32;400;400;300;24.6;0.025;FALSE;-;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;Solvothermal synthesis;700;2;https://doi.org/10.1021/acs.jpcc.8b10626
BaZr0.98Ce0.02O3;Bandgap (eV);11600;2.25;400;400;300;33.9;0.025;FALSE;-;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;Solvothermal synthesis;700;2;https://doi.org/10.1021/acs.jpcc.8b10626
BaZr0.97Ce0.03O3−δ;Bandgap (eV);18200;2.19;400;400;300;42.1;0.025;FALSE;-;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;Solvothermal synthesis;700;2;https://doi.org/10.1021/acs.jpcc.8b10626
BaZr0.99Ce0.04O3;Bandgap (eV);14100;2.14;400;400;300;36.7;0.025;FALSE;-;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;Solvothermal synthesis;700;2;https://doi.org/10.1021/acs.jpcc.8b10626
Cs3Bi2I9;Bandgap (eV);11.2;1.94;400;5000;300;-;0.10;FALSE;-;Photocatalysis; HI / H3PO2;-;-;FALSE;-;Co-precipitation in HI acid;FALSE;FALSE;https://doi.org/10.1002/adma.202001344
Cs3Bi1.7Sb1.4I9;Bandgap (eV);786;1.88;400;5000;300;-;0.10;FALSE;-;Photocatalysis; HI / H3PO2;-;-;FALSE;-;Co-precipitation in HI acid;FALSE;FALSE;https://doi.org/10.1002/adma.202001344
Cs3Bi1.7Sb1.4I9Pt;Bandgap (eV);926;1.63;400;5000;300;-;0.10;Pt;H2PtCl6·6H2O;Photocatalysis; HI / H3PO2;-;-;FALSE;-;Co-precipitation in HI acid;FALSE;FALSE;https://doi.org/10.1002/adma.202001344
LaNaTaO3;Bandgap (eV);19.8;3.98;250;25;1000;-;0.05;FALSE;-;Photoreform;Water / methanol;(9 : 1 v/v);CH3OH;TRUE;CH3OH;Wet-chemical templated synthesis;900;16;https://doi.org/10.1021/acsomega.1c00584
RuO2LaNaTaO3;Bandgap (eV);219.2;4.08;250;25;1000;-;0.05;Ru;RuO2 nanoparticles;Photoreform;Water / methanol;(9 : 1 v/v);CH3OH;TRUE;CH3OH;Wet-chemical templated synthesis;900;16;https://doi.org/10.1021/acsomega.1c00584
RuO2LaNaTaO3;Bandgap (eV);193.2;4.08;250;25;1000;-;0.05;Ru;RuO2 nanoparticles;Photoreform;Water / methanol;(9 : 1 v/v);CH3OH;TRUE;CH3OH;Wet-chemical templated synthesis;900;16;https://doi.org/10.1021/acsomega.1c00584
RuO2LaNaTaO3;Bandgap (eV);230.8;4.18;250;25;1000;34;0.05;Ru;RuO2 nanoparticles;Photoreform;Water / methanol;(9 : 1 v/v);CH3OH;TRUE;CH3OH;Wet-chemical templated synthesis;900;16;https://doi.org/10.1021/acsomega.1c00584
RuO2LaNaTaO3;Bandgap (eV);176.2;4.18;250;25;1000;-;0.05;Ru;RuO2 nanoparticles;Photoreform;Water / methanol;(9 : 1 v/v);CH3OH;TRUE;CH3OH;Wet-chemical templated synthesis;900;16;https://doi.org/10.1021/acsomega.1c00584
TiO2-I@CS3Bi2I9-10;Bandgap (eV);176.5;2.62;400;2000;1000;114;0.025;FALSE;-;Photoreform;Water / TEOA;(9 : 1 v/v);C6H15NO3;TRUE;C6H15NO3;Solvothermal synthesis;60;12;https://doi.org/10.1016/j.cattod.2024.114626
TiO2-I@CS3BI2I9-50;Bandgap (eV);163.2;2.17;400;2000;1000;114;0.025;FALSE;-;Photoreform;Water / TEOA;(9 : 1 v/v);C6H15NO3;TRUE;C6H15NO3;Solvothermal synthesis;60;12;https://doi.org/10.1016/j.cattod.2024.114626
TiO2-I@CS3Bi2I9-100;Bandgap (eV);159.3;2.3;400;2000;1000;110;0.025;FALSE;-;Photoreform;Water / TEOA;(9 : 1 v/v);C6H15NO3;TRUE;C6H15NO3;Solvothermal synthesis;60;12;https://doi.org/10.1016/j.cattod.2024.114626
TiO2-I@CS3Bi2I9-300;Bandgap (eV);97.8;2.53;400;2000;1000;102;0.025;FALSE;-;Photoreform;Water / TEOA;(9 : 1 v/v);C6H15NO3;TRUE;C6H15NO3;Solvothermal synthesis;60;12;https://doi.org/10.1016/j.cattod.2024.114626
TiO2-B@CS3BI2Br9-100;Bandgap (eV);98.1;2.99;400;2000;1000;65;0.025;FALSE;-;Photoreform;Water / TEOA;(9 : 1 v/v);C6H15NO3;TRUE;C6H15NO3;Solvothermal synthesis;60;12;https://doi.org/10.1016/j.cattod.2024.114626
CaTiO3;Bandgap (eV);5.12;3.64;250;6000;300;-;0.010;FALSE;-;Photoreform;Water / TEOA;(9 : 1 v/v);C6H15NO3;TRUE;C6H15NO3;hydrothermal synthesis;-;-;http://dx.doi.org/10.1007/s12274-024-6666-6
NiCo2S4CaTiO3;Bandgap (eV);307.76;3.61;250;6000;300;-;0.010;Ni/Co;NiCo2S4;Photoreform;Water / TEOA;(9 : 1 v/v);C6H15NO3;TRUE;C6H15NO3;Mechanical grinding;200;2;http://dx.doi.org/10.1007/s12274-024-6666-6
LaFeO3;Bandgap (eV);5940;2.08;400;16;39;12;0.05;FALSE;-;Photocatalysis;Water / NaOH / Na2SO4;-;-;FALSE;-;Sol-gel route;850;8;https://doi.org/10.1016/j.ijhydene.2022.12.327
NaTaO3;Bandgap (eV);50;4.05;250;128;150;1.1;0.20;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(9 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;900;12;https://doi.org/10.1016/j.ijhydene.2016.09.015
NaNbO3;Bandgap (eV);20;3.41;250;288;150;1.0;0.20;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(9 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;900;12;https://doi.org/10.1016/j.ijhydene.2016.09.015
NaNb0.5Ta0.5O3;Bandgap (eV);100;3.53;250;133;150;1.0;0.20;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(9 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;900;12;https://doi.org/10.1016/j.ijhydene.2016.09.015
LiNb0.5Ta0.5O3;Bandgap (eV);10;4.30;250;118;150;2.0;0.20;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(9 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;900;12;https://doi.org/10.1016/j.ijhydene.2016.09.015
KNb0.5Ta0.5O3;Bandgap (eV);40;3.48;250;97;150;2.1;0.20;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(9 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;900;12;https://doi.org/10.1016/j.ijhydene.2016.09.015
La2NiO4;Bandgap (eV);2.40;2.4;420;300;300;3;0.010;FALSE;-;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;Sol-gel + solid-state reaction;1200;12;https://doi.org/10.1016/j.seppur.2023.123310
La1.9Sr0.1NiO4+δ;Bandgap (eV);62.7;2.1;420;300;300;6;0.010;FALSE;-;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;Sol-gel + solid-state reaction;1200;12;https://doi.org/10.1016/j.seppur.2023.123310
La1.9Sr0.1Ni0.8Co0.2O4+δ;Bandgap (eV);70.3;2.15;420;300;300;9;0.010;FALSE;-;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;Sol-gel + solid-state reaction;1200;12;https://doi.org/10.1016/j.seppur.2023.123310
La1.9Sr0.1Ni0.8Co0.2O4+δ;Bandgap (eV);61.8;2.00;420;300;300;9;0.010;FALSE;-;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;Sol-gel + solid-state reaction;1200;12;https://doi.org/10.1016/j.seppur.2023.123310
BaTiO3;Bandgap (eV);789700;3.38;400;10;-;2.11;0.05;Pt;H2PtCl6·6H2O;Photoreform;Water / TEOA;(9 : 1 v/v);C6H15NO3;TRUE;C6H15NO3;-;-;-;https://doi.org/10.1016/j.jallcom.2018.04.300
BaTiO3;Bandgap (eV);98500;3.27;400;10;-;120.98;0.05;Pt;H2PtCl6·6H2O;Photoreform;Water / TEOA;(9 : 1 v/v);C6H15NO3;TRUE;C6H15NO3;Wet-chemical templated synthesis;80;12;https://doi.org/10.1016/j.jallcom.2018.04.300
KNbO3;Bandgap (eV);96.448;3.26;400;500;300;-;0.02;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(19 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;1110;2;http://dx.doi.org/10.1007/s11664-024-11026-8
[KNbO3]0.98[Ba(Ni0.5Sn0.5)O3]0.02;Bandgap (eV);119.487;3.19;400;500;300;-;0.02;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(19 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;1110;2;http://dx.doi.org/10.1007/s11664-024-11026-8
[KNbO3]0.98[Sr(Ni0.5Sn0.5)O3]0.02;Bandgap (eV);151.697;3.23;400;500;300;-;0.02;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(19 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;1110;2;http://dx.doi.org/10.1007/s11664-024-11026-8
[KNbO3]0.98[Ca(Ni0.5Sn0.5)O3]0.02;Bandgap (eV);165.798;3.12;400;500;300;-;0.02;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(19 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;1110;2;http://dx.doi.org/10.1007/s11664-024-11026-8
BaTiO3;Bandgap (eV);0.052;3.2;400;N/I;300;1.1;0.1;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(9 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;900;12;https://doi.org/10.1021/acsaem.4c02142
BaTiO3;Bandgap (eV);0;3.2;400;N/I;300;4.1;0.1;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(9 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;900;12;https://doi.org/10.1021/acsaem.4c02142
